                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1139,                 3.9971,                  4.493,                0.00167,                    0.5,                0.00497,                0.00104,                 2.0884,                 4.6155,                 4.1581,                    0.1,                      0,                      0
                      1,                 2.5823,                 4.2482,                 4.3842,                0.00167,                    0.5,                0.00481,                0.00105,                  2.087,                 4.6092,                  4.157,               0.099099,              9.901e-05,              9.901e-05
                      2,                 3.0231,                 4.6769,                  4.912,                0.00167,                    0.5,                0.00223,                0.00086,                 2.0854,                 4.6024,                 4.1561,               0.098196,             0.00019604,             0.00019604
                      3,                 2.6563,                 4.3199,                 4.6027,                0.00167,                    0.5,                0.00187,                0.00076,                 2.0835,                 4.5943,                  4.155,               0.097291,             0.00029109,             0.00029109
                      4,                 3.0911,                 4.1278,                   4.51,                0.00167,                    0.5,                0.00266,                 0.0008,                 2.0825,                 4.5866,                 4.1538,               0.096384,             0.00038416,             0.00038416
                      5,                 2.5596,                 4.4244,                 4.5302,                0.00167,                    0.5,                0.00238,                0.00082,                 2.0821,                 4.5773,                 4.1525,               0.095475,             0.00047525,             0.00047525
                      6,                  2.725,                 4.3312,                 4.5035,                0.00167,                    0.5,                0.00231,                0.00075,                 2.0801,                 4.5677,                 4.1508,               0.094564,             0.00056436,             0.00056436
                      7,                 3.3775,                 4.2948,                 4.3693,                0.00167,                    0.5,                0.00482,                  0.001,                 2.0793,                  4.556,                 4.1494,               0.093651,             0.00065149,             0.00065149
                      8,                 2.6961,                 4.4649,                 4.3676,                0.00167,                    0.5,                0.00255,                0.00087,                 2.0776,                 4.5444,                 4.1479,               0.092737,             0.00073664,             0.00073664
                      9,                 2.8843,                 4.1914,                 4.4456,                0.00167,                    0.5,                0.00203,                0.00077,                 2.0755,                 4.5348,                 4.1463,                0.09182,             0.00081981,             0.00081981
                     10,                 2.9757,                  4.159,                 4.3197,                0.00167,                    0.5,                0.00464,                0.00109,                 2.0737,                 4.5246,                 4.1447,               0.090901,               0.000901,               0.000901
